0,1,8,2,4
0,1,8,2,4
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,2,4
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,2,4
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,2,4
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,7,2,5
0,1,8,2,4
0,1,8,2,4
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,2,4
0,1,8,2,4
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,2,4
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,2,4
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,2,4
0,1,8,7,2,5
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,3,4,5
0,1,8,3,4,5
