0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,11,7
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,3,7,11
0,1,3,11,7
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,7,11
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,3,7,11
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
0,1,3,7,11
0,1,4,2,7,11
0,1,4,2,7,11
0,1,4,2,11,7
0,1,4,2,7,11
0,1,3,11,7
0,1,3,11,7
